player_id,forty_yd_dash,vertical_jump,broad_jump,three_cone,shuttle_run
1,4.53,33.0,130.0,7.09,4.18
2,4.91,34.0,108.0,7.71,4.59
3,4.59,36.0,123.0,7.22,4.16
4,5.26,29.0,97.0,7.78,4.72
5,4.5,,,,
6,4.62,37.5,124.0,6.91,4.09
7,4.66,32.5,121.0,6.97,4.18
8,4.78,31.0,110.0,7.42,4.22
9,4.58,,,,
10,4.55,32.5,106.0,6.61,3.84
11,5.22,27.5,101.0,7.68,4.68
12,5.28,26.0,104.0,7.99,4.73
13,5.22,29.5,100.0,7.99,
14,4.43,37.0,118.0,7.15,
15,5.37,27.0,90.0,7.91,4.84
16,4.75,,,,
17,4.6,35.0,111.0,7.14,4.14
18,4.78,38.0,115.0,6.84,4.14
19,4.34,35.0,124.0,,
20,5.0,32.5,109.0,8.38,4.85
21,4.65,,,,
22,5.37,27.5,100.0,7.87,4.83
23,5.65,22.5,98.0,8.48,4.81
24,4.81,37.5,114.0,6.72,4.3
25,4.59,33.5,119.0,,
26,5.08,,,,
27,5.35,,,,
28,5.37,26.5,99.0,7.49,4.88
29,4.48,32.5,121.0,,
30,5.37,26.5,98.0,7.8,4.78
31,4.91,25.5,100.0,7.34,4.21
32,5.59,26.0,95.0,8.15,5.13
33,4.5,37.0,115.0,6.92,4.4
34,4.48,,,,
35,4.45,,,,
36,4.66,39.5,129.0,6.93,4.13
37,4.81,33.5,111.0,7.12,4.16
38,4.43,37.5,123.0,6.96,4.04
39,4.5,36.0,121.0,,
40,4.6,34.5,119.0,7.06,4.17
41,4.65,37.5,117.0,7.05,4.21
42,4.57,36.0,117.0,,
43,4.57,36.0,117.0,7.16,4.11
44,4.69,33.0,120.0,6.89,4.15
45,5.31,26.0,97.0,7.72,4.71
46,5.39,,,,
47,5.5,,,,
48,4.63,32.0,108.0,7.08,4.12
49,4.58,34.5,113.0,,
50,4.58,,,,
51,4.56,35.5,125.0,7.3,4.25
52,5.09,,,,
53,4.72,28.5,106.0,7.11,4.38
54,4.98,,,,
55,4.9,,,,
56,4.41,41.5,131.0,6.82,3.93
57,5.46,31.0,104.0,7.91,4.76
58,4.45,,,,
59,4.63,38.5,125.0,7.33,4.43
60,4.95,29.5,96.0,,
61,4.5,,118.0,,
62,5.62,25.5,94.0,8.51,5.22
63,4.6,35.5,125.0,7.15,4.14
64,4.68,,109.0,,
65,4.56,,,,
66,4.7,,,,
67,5.2,27.5,99.0,7.17,4.41
68,5.23,,,,
69,4.5,,,7.33,4.18
70,4.81,,106.0,,
71,4.66,34.5,118.0,7.48,4.44
72,4.78,28.5,108.0,7.08,4.34
73,4.56,37.5,121.0,7.03,4.29
74,4.85,27.0,116.0,7.46,4.52
75,4.85,,,,
76,4.55,37.0,121.0,6.88,4.06
77,4.72,37.0,116.0,6.92,4.16
78,4.58,,,,
79,4.99,28.0,104.0,7.88,4.81
80,4.58,,117.0,,
81,4.66,30.0,115.0,7.34,4.41
82,4.65,,,,
83,4.55,34.0,117.0,6.96,4.16
84,4.83,,,,
85,4.41,34.0,115.0,6.89,4.39
86,5.4,28.0,101.0,8.15,4.97
87,4.61,32.5,110.0,6.79,4.1
88,4.37,37.5,125.0,6.76,4.09
89,5.05,30.5,102.0,7.58,4.73
90,5.15,31.5,100.0,7.77,4.86
91,4.56,38.5,128.0,6.84,4.2
92,4.54,39.5,118.0,,
93,5.16,31.0,100.0,7.82,4.48
94,4.41,,,,
95,4.59,33.0,115.0,,
96,4.97,,100.0,7.46,4.34
97,5.01,29.0,101.0,7.54,4.87
98,5.28,24.5,99.0,7.2,4.38
99,5.07,31.5,103.0,7.76,4.58
100,4.78,33.5,123.0,6.94,4.08
101,5.56,25.0,94.0,8.48,4.98
102,4.58,,,,
103,4.84,29.5,112.0,7.15,4.41
104,4.52,,,,
105,4.68,32.5,118.0,7.05,4.24
106,5.2,28.5,108.0,7.54,4.42
107,5.16,27.0,96.0,8.18,4.95
108,4.55,33.5,123.0,,
109,4.78,33.0,113.0,7.18,4.47
110,4.5,,,,
111,4.66,33.0,119.0,7.18,4.1
112,5.34,25.0,92.0,,
113,4.6,32.0,118.0,6.63,4.3
114,4.68,37.0,124.0,7.21,4.31
115,5.31,29.5,101.0,8.31,4.76
116,4.97,29.0,104.0,7.29,4.49
117,5.34,28.0,96.0,7.72,4.73
118,5.19,,,,
119,4.72,31.0,107.0,7.17,4.39
120,4.66,30.0,117.0,6.64,4.08
121,5.03,28.5,107.0,7.46,4.42
122,4.74,36.5,119.0,6.94,4.23
123,4.96,,,,
124,4.56,,115.0,,
125,5.08,31.0,103.0,7.65,4.65
126,5.49,33.0,103.0,8.14,4.84
127,4.54,,,,
128,4.74,33.0,115.0,7.2,4.24
129,5.06,30.0,108.0,7.33,4.67
130,5.66,26.0,92.0,8.51,5.0
131,4.81,32.0,109.0,7.04,4.47
132,4.51,33.0,108.0,6.63,3.94
133,4.92,31.0,106.0,7.3,4.45
134,4.43,,,,
135,4.43,34.5,117.0,6.84,4.36
136,4.62,32.5,113.0,7.15,4.3
137,4.66,,,,
138,5.85,23.0,94.0,,
139,4.44,38.0,123.0,6.62,3.82
140,4.52,,,,
141,4.54,36.0,116.0,7.57,4.41
142,4.5,32.0,125.0,6.97,4.07
143,4.81,30.0,109.0,7.27,4.36
144,5.4,29.0,94.0,7.94,4.63
145,4.54,34.5,116.0,7.14,4.21
146,5.2,,,,
147,5.25,29.0,107.0,7.9,4.66
148,5.56,28.0,99.0,8.07,4.99
149,4.66,,,,
150,4.62,37.5,121.0,6.81,4.16
