player_id,name,position,college,weight
1,Bashir Yamini\YamiBa20,WR,Iowa,191
2,Spergon Wynn\WynnSp00,QB,Texas State,229
3,James Williams\WillJa01,WR,Marshall,180
4,Bobbie Williams\WillBo21,OT,Arkansas,332
5,Michael Wiley\WileMi00,RB,Ohio State,193
6,Dez White\WhitDe00,WR,Georgia Tech,218
7,Austin Wheatley\WheaAu20,TE,Iowa,254
8,James Whalen\WhalJa00,TE,Kentucky,228
9,Peter Warrick\WarrPe00,WR,Florida State,194
10,Troy Walters\WaltTr00,WR,Stanford,171
11,Todd Wade\WadeTo20,OT,Mississippi,326
12,Michael Thompson\ThomMi20,OT,Tennessee State,305
13,Jason Thomas\ThomJa20,OG,Hampton,300
14,Travis Taylor\TaylTr01,WR,Florida,199
15,Mark Tauscher\TausMa20,OG,Wisconsin,318
16,Jay Tant\TantJa00,TE,Northwestern,255
17,Shyrone Stith\StitSh00,RB,Virginia Tech,204
18,Dave Stachelski\StacDa00,TE,Boise State,250
19,R. Jay Soward\SowaR.00,WR,Southern California,177
20,Terrelle Smith\SmitTe00,FB,Arizona State,249
21,Paul Smith\SmitPa00,FB,Texas-El Paso,220
22,Marvel Smith\SmitMa55,OT,Arizona State,320
23,Wes Shivers\ShivWe20,OT,Mississippi State,318
24,Aaron Shea\SheaAa00,FB,Michigan,253
25,Gari Scott\ScotGa00,WR,Michigan State,194
26,Chris Samuels\SamuCh00,OT,Alabama,325
27,Blaine Saipaia\SaipBl20,OG,Colorado State,321
28,Tutan Reyes\ReyeTu20,OT,Mississippi,299
29,J.R. Redmond\RedmJ.00,RB,Arizona State,216
30,Chris Redman\RedmCh00,QB,Louisville,222
31,Tim Rattay\RattTi00,QB,Louisiana Tech,215
32,Greg Randall\RandGr20,OT,Michigan State,333
33,Travis Prentice\PrenTr00,RB,Miami (OH),225
34,Jerry Porter\PortJe00,WR,West Virginia,221
35,Todd Pinkston\PinkTo00,WR,Southern Miss,169
36,Mareno Philyaw\PhilMa20,WR,Troy,205
37,Chad Pennington\PennCh01,QB,Marshall,229
38,Dennis Northcutt\NortDe00,WR,Arizona,175
